trip,ActivityID,ActivityName,ActivityClass,TimestampStart,TimestampStop,TimestampDt
6,953aecf1-1c3e-43c8-9e12-112de970e553,sequential_activity_subcycle:sequential_activity_subcycle Carrier C,SequentialActivity,1970-01-01 02:24:31,1970-01-01 02:58:48,2057.0
7,953aecf1-1c3e-43c8-9e12-112de970e553,sequential_activity_subcycle:sequential_activity_subcycle Carrier C,SequentialActivity,1970-01-01 02:24:31,1970-01-01 06:07:37,13386.0
8,953aecf1-1c3e-43c8-9e12-112de970e553,sequential_activity_subcycle:sequential_activity_subcycle Carrier C,SequentialActivity,1970-01-01 02:58:48,1970-01-01 06:41:54,13386.0
9,953aecf1-1c3e-43c8-9e12-112de970e553,sequential_activity_subcycle:sequential_activity_subcycle Carrier C,SequentialActivity,1970-01-01 06:07:37,1970-01-01 07:16:11,4114.0
10,953aecf1-1c3e-43c8-9e12-112de970e553,sequential_activity_subcycle:sequential_activity_subcycle Carrier C,SequentialActivity,1970-01-01 06:41:54,1970-01-01 07:16:11,2057.0
11,953aecf1-1c3e-43c8-9e12-112de970e553,sequential_activity_subcycle:sequential_activity_subcycle Carrier C,SequentialActivity,1970-01-01 07:16:11,1970-01-01 07:50:28,2057.0
12,953aecf1-1c3e-43c8-9e12-112de970e553,sequential_activity_subcycle:sequential_activity_subcycle Carrier C,SequentialActivity,1970-01-01 07:16:11,1970-01-01 10:17:37,10886.0
13,953aecf1-1c3e-43c8-9e12-112de970e553,sequential_activity_subcycle:sequential_activity_subcycle Carrier C,SequentialActivity,1970-01-01 07:50:28,1970-01-01 10:51:54,10886.0
14,953aecf1-1c3e-43c8-9e12-112de970e553,sequential_activity_subcycle:sequential_activity_subcycle Carrier C,SequentialActivity,1970-01-01 10:17:37,1970-01-01 11:26:11,4114.0
15,953aecf1-1c3e-43c8-9e12-112de970e553,sequential_activity_subcycle:sequential_activity_subcycle Carrier C,SequentialActivity,1970-01-01 10:51:54,1970-01-01 11:26:11,2057.0
